

la biblia; autor: varios
patria; autor: fernando aramburu
lolita; autor: vladimir nabokov
el maestro y margarita; autor: mijail bulgakov
cien años de soledad; autor: gabriel garcia marquez
kain; autor: jose saramago
el señor de los anillos; autor: john ronald reuel tolkien
la aventura del tocador de señoras; autor: eduardo mendoza
el guardian invisible; autor: dolores redondo
sinceramente suyo shurik; autor: liudmila ulitskaya
harry potter; autor:  joan rowling
la casa torcida; autor: agatha christie
cancion de hielo y fuego; autor: george raymond richard martin
el nombre de la rosa; autor: umberto eco
la metamorfosis; autor: franz kafka
orgullo y prejuicio; autor: jane austen
la odisea; autor: homero
el perfume; autor: patrick suskind
lo que el viento se llevo; autor: margaret mitchell
matar un ruiseñor; autor: harper lee
cuentos de los hermanos grimm; autor: jacob grimm y wilhelm grimm
